%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.header.seq,field.pose.header.stamp,field.pose.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.label,field.main_output,field.scan_score,field.pose_score,field.cov_score,field.lhood_map_score,field.lhood_robot_score,field.lhood_map_score_all,field.lhood_robot_score_all,field.point_angle_diff,field.average_orientation,field.map_average_orientation,field.sensor_div,field.odom_div_x,field.odom_div_w,field.imu_div_w,field.kdtree_div,field.kdtree_div_p,field.cov_div,field.cov_div_p,field.likelihood_div,field.likelihood_div_p,field.normal_diff_div,field.normal_diff_div_p,field.kdtree_average,field.cov_average,field.likelihood_average,field.normal_diff_average,field.map_update_count
1.63085776565297E+018,0,1.63085776565297E+018,base_footprint,0,1.63085776565297E+018,map,-1.90842685671,5.15056719123,0,0,0,0.00326760313263,0.999994661371,0,60.4932823181,14.6834306717,100,96.6605072021,39.923664093,39.923664093,60.4932823181,60.4932823181,50.2743148804,-1.08605921268,0,0.00197270559147,4.0872964859,0.00256962049752,0.00454232608899,10.5627775192,0.418390661478,-0.853446960449,-0.00890797562897,8.21775054932,0.170700237155,-5.6085357666,-0.125566735864,25.2462081909,95.8070602417,48.1414146423,44.6657791138,322
1.63085776575261E+018,1,1.63085776575261E+018,base_footprint,0,1.63085776575261E+018,map,-1.78557567359,5.14886368661,0,0,0,0.00280788407909,0.999996057886,0,60.6601486206,22.8543872833,48.1037826538,96.159072876,40.3649024963,40.3649024963,60.6601486206,60.6601486206,50.2309608459,-1.6937391758,0,0.000849739008117,4.08630800247,0.00303468620405,0.00388442515396,1.90982246399,0.0771202668548,-0.382476806641,-0.0039934264496,7.50944519043,0.156857386231,-5.28204727173,-0.117512233555,24.7642097473,95.7765960693,47.8743476868,44.9489135742,301
1.63085776585257E+018,2,1.63085776585257E+018,base_footprint,0,1.63085776585257E+018,map,-1.70466475843,5.14671603473,0,0,0,0.00286478529057,0.999995896494,0,61.2248916626,20.3036060333,48.2534103394,97.08959198,40.6784133911,40.6784133911,61.2248916626,61.2248916626,46.8013305664,-2.0941836834,0,0.000298037892208,4.10699653625,0.00283532124013,0.00253728334792,3.82147789001,0.158402681351,-1.26522064209,-0.0132035370916,7.02587890625,0.147279798985,-1.3345489502,-0.0293521750718,24.1250839233,95.8243713379,47.7042922974,45.4667816162,271
1.63085776595282E+018,3,1.63085776595282E+018,base_footprint,0,1.63085776595282E+018,map,-1.63075506256,5.14450014031,0,0,0,0.00368277289389,0.999993218569,0,61.3323898315,24.7058830261,48.2534103394,97.0212249756,41.0913734436,41.0913734436,61.3323898315,61.3323898315,49.0802307129,-1.67590856552,0,0.00257981917821,4.10381650925,0.00425851205364,0.00167869287543,-1.38607788086,-0.0594378001988,-1.21517944336,-0.0126837445423,6.39250564575,0.134624749422,-3.23104476929,-0.0704711452127,23.3198051453,95.8060455322,47.4838790894,45.8491859436,246
1.63085776605338E+018,4,1.63085776605338E+018,base_footprint,0,1.63085776605338E+018,map,-1.45587556418,5.14590128681,0,0,0,0.00334679859326,0.999994399454,0,61.4208984375,21.882352829,48.4334182739,96.0442504883,41.5102348328,41.5102348328,61.4208984375,61.4208984375,48.4936637878,-1.41868698597,0,0.00162769760936,4.0974612236,0.00100781396031,0.000619883765467,1.74729347229,0.0739449709654,-0.256309509277,-0.00267580151558,5.91889572144,0.124794520438,-2.56038665771,-0.0557414330542,23.6296463013,95.787940979,47.4291305542,45.9332771301,241
1.63085776615373E+018,5,1.63085776615373E+018,base_footprint,0,1.63085776615373E+018,map,-1.36643416415,5.14354776102,0,0,0,0.00517562007145,0.999986606389,0,61.9757766724,23.1499042511,48.5807991028,96.9965820312,41.902759552,41.902759552,61.9757766724,61.9757766724,46.1735572815,-1.80872237682,0,0.00051987671759,4.09017944336,0.00015893157979,0.000678808311932,0.687307357788,0.028833379969,-1.24478912354,-0.0130001651123,5.53385925293,0.116657964885,0.0992202758789,0.00214424729347,23.8372116089,95.7517929077,47.4366188049,46.2727775574,234
1.63085776625304E+018,6,1.63085776625304E+018,base_footprint,0,1.63085776625304E+018,map,-1.22847626144,5.14360260962,0,0,0,0.00340647306165,0.999994197954,0,62.1130447388,22.8235301971,48.7448959351,97.4199295044,42.1852836609,42.1852836609,62.1130447388,62.1130447388,48.2780036926,-1.21314668655,0,0.000579018669669,4.10142755508,0.000278013845673,0.000301004794892,1.00994682312,0.0423751361668,-1.6110534668,-0.0168152842671,5.14770507812,0.108755126595,-1.94102096558,-0.0418892391026,23.8334770203,95.8088760376,47.332988739,46.3369827271,229
1.63085776635283E+018,7,1.63085776635283E+018,base_footprint,0,1.63085776635283E+018,map,-1.12345035062,5.14521391696,0,0,0,0.00491014917643,0.999987945145,0,62.0662918091,22.8543872833,48.9087715149,97.3527832031,42.4446258545,42.4446258545,62.0662918091,62.0662918091,51.6787147522,-0.874427855015,0,8.83232278284E-05,4.10296058655,0.00127780402545,0.00118948076852,1.29970359802,0.053808838129,-1.4234085083,-0.0148380883038,4.78239440918,0.101263947785,-5.57836151123,-0.121004745364,24.1540908813,95.9293746948,47.2270202637,46.100353241,263
1.63085776645271E+018,8,1.63085776645271E+018,base_footprint,0,1.63085776645271E+018,map,-1.04178323867,5.14689254741,0,0,0,0.00534529952249,0.999985713784,0,62.1335105896,19.9614276886,48.8120727539,97.2992019653,42.6796684265,42.6796684265,62.1335105896,62.1335105896,52.8143920898,-0.949869990349,0,0.00274170027114,4.08970499039,0.00233459356241,0.00507629383355,4.44421005249,0.182097688317,-1.35540771484,-0.0141271017492,4.56118774414,0.0965517610312,-6.68999099731,-0.145042344928,24.4056377411,95.9437942505,47.2408561707,46.1244010925,265
1.63085776655298E+018,9,1.63085776655298E+018,base_footprint,0,1.63085776655298E+018,map,-0.885517455379,5.14874785687,0,0,0,0.00465166751492,0.999989180936,0,62.344078064,17.6470584869,48.8658370972,96.7562789917,42.9133682251,42.9133682251,62.344078064,62.344078064,49.5935554504,-0.586230695248,0,0.00119953893591,4.09644699097,0.00444940617308,0.00564894499257,6.80374145508,0.278262525797,-0.82349395752,-0.00858407188207,4.29317092896,0.0909444093704,-3.60671615601,-0.0784293115139,24.450799942,95.9327850342,47.2065391541,45.9868392944,297
